date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:20	52/52	---MCZ	200	added ('OK')	text/plain	etag:W/%2226-58458f05a6e00%22	https://livewp.site/robots.txt		(from )
12:41:21	58308/58308	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/index.html	(from )
12:41:21	1406/1406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225a7cc1b4-57e%22	https://livewp.site/html/johnblack/img/favicon.ico	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/img/favicon.ico	(from https://livewp.site/html/johnblack/)
12:41:22	1780/1780	---M--	200	added ('OK')	image/png	etag:%225a7cc1b6-6f4%22	https://livewp.site/html/johnblack/img/apple_icons_57x57.png	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/img/apple_icons_57x57.png	(from https://livewp.site/html/johnblack/)
12:41:22	1960/1960	---M--	200	added ('OK')	image/png	etag:%225a7cc1b3-7a8%22	https://livewp.site/html/johnblack/img/apple_icons_72x72.png	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/img/apple_icons_72x72.png	(from https://livewp.site/html/johnblack/)
12:41:22	2744/2744	---M--	200	added ('OK')	image/png	etag:%225a7cc1bb-ab8%22	https://livewp.site/html/johnblack/img/apple_icons_114x114.png	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/img/apple_icons_114x114.png	(from https://livewp.site/html/johnblack/)
12:41:23	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225a7cc1b3-7918%22	https://livewp.site/html/johnblack/css/font-awesome.min.css	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/css/font-awesome.min.css	(from https://livewp.site/html/johnblack/)
12:41:23	13171/13171	---MCZ	200	added ('OK')	text/css	etag:W/%225a7cc1b2-3373%22	https://livewp.site/html/johnblack/css/font-iconano.css	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/css/font-iconano.css	(from https://livewp.site/html/johnblack/)
12:41:24	292579/292579	---MCZ	200	added ('OK')	text/css	etag:W/%225ed65b6e-476e3%22	https://livewp.site/html/johnblack/css/theme.css	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/css/theme.css	(from https://livewp.site/html/johnblack/)
12:41:24	36632/36632	---MCZ	200	added ('OK')	text/css	etag:W/%225a7cc1b3-8f18%22	https://livewp.site/html/johnblack/css/custom.css	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/css/custom.css	(from https://livewp.site/html/johnblack/)
12:41:24	18654/18654	---MCZ	200	added ('OK')	text/css	etag:W/%225a7cc1b3-48de%22	https://livewp.site/html/johnblack/css/responsive.css	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/css/responsive.css	(from https://livewp.site/html/johnblack/)
12:41:25	58308/58308	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/index.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/index-2.html	(from https://livewp.site/html/johnblack/)
12:41:25	4560/4560	---M--	200	added ('OK')	image/png	etag:%225a7cc1b5-11d0%22	https://livewp.site/html/johnblack/img/custom_logo.png	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/img/custom_logo.png	(from https://livewp.site/html/johnblack/)
12:41:26	18631/18631	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/index-2.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/index-3.html	(from https://livewp.site/html/johnblack/)
12:41:27	52381/52381	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/index-3.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/index-4.html	(from https://livewp.site/html/johnblack/)
12:41:27	15723/15723	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/shift-slider.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/shift-slider.html	(from https://livewp.site/html/johnblack/)
12:41:27	12671/12671	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/video-bg.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/video-bg.html	(from https://livewp.site/html/johnblack/)
12:41:27	14058/14058	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/gallery-ribbon.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/gallery-ribbon.html	(from https://livewp.site/html/johnblack/)
12:41:28	15605/15605	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/flow-gallery.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/flow-gallery.html	(from https://livewp.site/html/johnblack/)
12:41:28	31603/31603	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/gallery-grid-type1.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/gallery-grid-type1.html	(from https://livewp.site/html/johnblack/)
12:41:28	31535/31535	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/gallery-grid-type2.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/gallery-grid-type2.html	(from https://livewp.site/html/johnblack/)
12:41:28	30946/30946	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/fullscreen-gallery.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/fullscreen-gallery.html	(from https://livewp.site/html/johnblack/)
12:41:29	17833/17833	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/packery-gallery.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/packery-gallery.html	(from https://livewp.site/html/johnblack/)
12:41:29	12505/12505	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/gallery-kenburns.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/gallery-kenburns.html	(from https://livewp.site/html/johnblack/)
12:41:29	3710/3710	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/striped.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/striped.html	(from https://livewp.site/html/johnblack/)
12:41:30	18005/18005	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/about.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/about.html	(from https://livewp.site/html/johnblack/)
12:41:30	25189/25189	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/services.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/services.html	(from https://livewp.site/html/johnblack/)
12:41:30	12346/12346	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/image-bg.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/image-bg.html	(from https://livewp.site/html/johnblack/)
12:41:31	20196/20196	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/portfolio-1-column.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/portfolio-1-column.html	(from https://livewp.site/html/johnblack/)
12:41:31	26613/26613	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/portfolio-grid-with-page-title.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/portfolio-grid-with-page-title.html	(from https://livewp.site/html/johnblack/)
12:41:31	26518/26518	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/portfolio-grid-type1.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/portfolio-grid-type1.html	(from https://livewp.site/html/johnblack/)
12:41:31	26517/26517	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/portfolio-grid-type2.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/portfolio-grid-type2.html	(from https://livewp.site/html/johnblack/)
12:41:32	32567/32567	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/portfolio-fullscreen-style.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/portfolio-fullscreen-style.html	(from https://livewp.site/html/johnblack/)
12:41:32	33053/33053	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/post-with-image.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/post-with-image.html	(from https://livewp.site/html/johnblack/)
12:41:32	33881/33881	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/blog-with-left-sidebar.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/blog-with-left-sidebar.html	(from https://livewp.site/html/johnblack/)
12:41:32	32886/32886	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/blog-with-right-sidebar.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/blog-with-right-sidebar.html	(from https://livewp.site/html/johnblack/)
12:41:33	19215/19215	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/typography.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/typography.html	(from https://livewp.site/html/johnblack/)
12:41:33	12439/12439	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:51%20GMT	https://livewp.site/html/johnblack/404page.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/404page.html	(from https://livewp.site/html/johnblack/)
12:41:33	3704/3704	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/coming-soon.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/coming-soon.html	(from https://livewp.site/html/johnblack/)
12:41:33	34595/34595	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2021:29:50%20GMT	https://livewp.site/html/johnblack/modules.html	D:/Ashwin/Templates/LD-2/livewp.site/html/johnblack/modules.html	(from https://livewp.site/html/johnblack/)
